epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.1842,2.40873,3.61687,2.13972,0.00795,0.25,0.00514,0.00166,1.48755,3.5722,1.74733,0,0,0,0,0,0,0,0
2,37.6658,2.28917,3.58795,2.00611,0.00992,0.3125,0.00801,0.00207,1.4785,3.5742,1.74142,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05
3,58.8594,2.44013,3.67449,2.03347,0.00787,0.25,0.00524,0.0019,1.4705,3.57487,1.72942,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05,9.60592e-05,3.20197e-05
4,69.5542,2.60494,3.6436,2.20026,0.00586,0.1875,0.00403,0.00179,1.4673,3.57002,1.72104,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05,0.000141118,4.70394e-05
5,88.2339,2.24289,3.5532,1.98902,0.00783,0.25,0.00545,0.00277,1.47477,3.56604,1.72181,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05,0.000184197,6.13989e-05
6,105.727,2.43302,3.54384,2.12886,0.00766,0.25,0.00541,0.00274,1.48104,3.56362,1.729,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05,0.000225295,7.50984e-05
7,121.307,2.36309,3.64311,2.10962,0.0076,0.25,0.00554,0.00264,1.48326,3.55932,1.72926,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05,0.000264413,8.81376e-05
8,132.782,2.19889,3.36755,2.02173,0.00753,0.25,0.00561,0.00266,1.49379,3.55643,1.73637,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517,0.00030155,0.000100517
9,151.261,2.31835,3.72268,1.90488,0.00749,0.25,0.00566,0.00279,1.47915,3.56142,1.72074,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236,0.000336707,0.000112236
10,166.839,2.321,3.65087,2.06881,0.00752,0.25,0.0056,0.00354,1.4652,3.561,1.71044,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295,0.000369884,0.000123295
11,178.93,2.13831,3.65144,1.87505,0.00929,0.3125,0.00695,0.00466,1.45691,3.55612,1.7092,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693,0.00040108,0.000133693
12,232.153,2.24438,3.54577,1.94467,0.00921,0.3125,0.00687,0.00461,1.44509,3.55162,1.70082,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432,0.000430296,0.000143432
13,260.164,2.29966,3.64256,1.91108,0.01083,0.375,0.00941,0.00503,1.44336,3.54961,1.68848,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251,0.000457531,0.00015251
14,285.303,2.36796,3.58632,2.04069,0.01257,0.4375,0.01084,0.00468,1.45105,3.55147,1.69134,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929,0.000482787,0.000160929
15,314.524,2.36347,3.57881,2.04949,0.01064,0.375,0.00944,0.00393,1.45683,3.5496,1.69346,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687,0.000506061,0.000168687
16,329.465,2.00043,3.52221,1.82211,0.01241,0.4375,0.01097,0.00376,1.46045,3.54624,1.69586,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785,0.000527355,0.000175785
